,time (sec),time since last (sec),mean update period:,mean update freq (Hz):
1372169740,1.940000057,0.019999981,,
1372169740,1.960000038,0.019999981,,
1372169740,1.980000019,0.019999981,,
1372169740,2,0.019999981,,
1372169740,2.070000172,0.070000172,,
1372169740,2.080000162,0.00999999,,
1372169740,2.080000162,0,,
1372169740,2.090000153,0.00999999,,
1372169740,2.100000143,0.00999999,,
1372169740,2.120000124,0.019999981,,
1372169741,2.140000105,0.019999981,,
1372169741,2.160000086,0.019999981,,
1372169741,2.180000067,0.019999981,,
1372169741,2.200000048,0.019999981,,
1372169741,2.220000029,0.019999981,,
1372169741,2.24000001,0.019999981,,
1372169741,2.260000229,0.020000219,,
1372169741,2.300000191,0.039999962,,
1372169741,2.310000181,0.00999999,,
1372169741,2.320000172,0.00999999,,
1372169741,2.340000153,0.019999981,,
1372169741,2.350000143,0.00999999,,
1372169741,2.380000114,0.029999971,,
1372169741,2.400000095,0.019999981,,
1372169741,2.420000076,0.019999981,,
1372169741,2.440000057,0.019999981,,
1372169741,2.460000038,0.019999981,,
1372169741,2.480000019,0.019999981,,
1372169741,2.5,0.019999981,,
1372169741,2.520000219,0.020000219,,
1372169741,2.570000172,0.049999952,,
1372169741,2.580000162,0.00999999,,
1372169741,2.580000162,0,,
1372169741,2.600000143,0.019999981,,
1372169741,2.610000134,0.00999999,,
1372169741,2.640000105,0.029999971,,
1372169741,2.660000086,0.019999981,,
1372169741,2.680000067,0.019999981,,
1372169741,2.700000048,0.019999981,,
1372169741,2.710000038,0.00999999,,
1372169741,2.730000019,0.019999981,,
1372169741,2.75,0.019999981,,
1372169741,2.770000219,0.020000219,,
1372169741,2.840000153,0.069999933,,
1372169741,2.840000153,0,,
1372169741,2.850000143,0.00999999,,
1372169741,2.850000143,0,,
1372169741,2.870000124,0.019999981,,
1372169741,2.900000095,0.029999971,,
1372169741,2.920000076,0.019999981,,
1372169741,2.930000067,0.00999999,,
1372169741,2.960000038,0.029999971,,
1372169741,2.980000019,0.019999981,,
1372169741,3,0.019999981,,
1372169741,3.020000219,0.020000219,,
1372169741,3.0400002,0.019999981,,
1372169741,3.100000143,0.059999943,,
1372169741,3.110000134,0.00999999,,
1372169741,3.110000134,0,,
1372169741,3.120000124,0.00999999,,
1372169742,3.140000105,0.019999981,,
1372169742,3.160000086,0.019999981,,
1372169742,3.180000067,0.019999981,,
1372169742,3.200000048,0.019999981,,
1372169742,3.210000038,0.00999999,,
1372169742,3.230000019,0.019999981,,
1372169742,3.260000229,0.03000021,,
1372169742,3.270000219,0.00999999,,
1372169742,3.300000191,0.029999971,,
1372169742,3.370000124,0.069999933,,
1372169742,3.380000114,0.00999999,,
1372169742,3.390000105,0.00999999,,
1372169742,3.390000105,0,,
1372169742,3.400000095,0.00999999,,
1372169742,3.420000076,0.019999981,,
1372169742,3.430000067,0.00999999,,
1372169742,3.450000048,0.019999981,,
1372169742,3.470000029,0.019999981,,
1372169742,3.49000001,0.019999981,,
1372169742,3.520000219,0.03000021,,
1372169742,3.53000021,0.00999999,,
1372169742,3.550000191,0.019999981,,
1372169742,3.630000114,0.079999924,,
1372169742,3.640000105,0.00999999,,
1372169742,3.640000105,0,,
1372169742,3.650000095,0.00999999,,
1372169742,3.660000086,0.00999999,,
1372169742,3.680000067,0.019999981,,
1372169742,3.700000048,0.019999981,,
1372169742,3.720000029,0.019999981,,
1372169742,3.730000019,0.00999999,,
1372169742,3.75,0.019999981,,
1372169742,3.770000219,0.020000219,,
1372169742,3.7900002,0.019999981,,
1372169742,3.810000181,0.019999981,,
1372169742,3.860000134,0.049999952,,
1372169742,3.870000124,0.00999999,,
1372169742,3.880000114,0.00999999,,
1372169742,3.900000095,0.019999981,,
1372169742,3.920000076,0.019999981,,
1372169742,3.930000067,0.00999999,,
1372169742,3.950000048,0.019999981,,
1372169742,3.970000029,0.019999981,,
1372169742,3.99000001,0.019999981,,
1372169742,4.010000229,0.020000219,,
1372169742,4.0400002,0.029999971,,
1372169742,4.060000181,0.019999981,,
1372169742,4.080000162,0.019999981,,
1372169742,4.120000124,0.039999962,,
1372169743,4.130000114,0.00999999,,
1372169743,4.140000105,0.00999999,,
1372169743,4.150000095,0.00999999,,
1372169743,4.170000076,0.019999981,,
1372169743,4.190000057,0.019999981,,
1372169743,4.210000038,0.019999981,,
1372169743,4.230000019,0.019999981,,
1372169743,4.25,0.019999981,,
1372169743,4.270000219,0.020000219,,
1372169743,4.2900002,0.019999981,,
1372169743,4.310000181,0.019999981,,
1372169743,4.330000162,0.019999981,,
1372169743,4.380000114,0.049999952,,
1372169743,4.390000105,0.00999999,,
1372169743,4.390000105,0,,
1372169743,4.420000076,0.029999971,,
1372169743,4.430000067,0.00999999,,
