Time (s),elevator,throttle,aileron,rudder,pitch(rad),arspd(m/s?),bank(rad),gps hdg(deg),ahrs hdg(rad)
14.180726042,6800,65,6800,-142,0.028804121539,0.605759620667,-0.00505164125934,0,-0.0444983616471
14.1954334978,6700,65,6700,-146,0.028804121539,0.605759620667,-0.00505164125934,0,-0.0444983616471
14.2003438985,6600,65,6600,-150,0.028804121539,0.605759620667,-0.00505164125934,0,-0.0444983616471
14.205303188,6500,65,6500,-152,0.028804121539,0.605759620667,-0.00505164125934,0,-0.0444983616471
14.2100373092,6400,65,6400,-151,0.028804121539,0.605759620667,-0.00505164125934,0,-0.0444983616471
14.2148080273,6300,65,6300,-142,0.028804121539,0.605759620667,-0.00505164125934,0,-0.0444983616471
14.4033470734,6100,0,6100,-133,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4083703376,6000,65,6000,-136,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4133706938,5900,65,5900,-130,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4179631769,5800,65,5800,-129,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4228886632,5700,65,5700,-132,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4277102257,5600,65,5600,-141,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4325999533,5500,65,5500,-156,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4378316239,5400,65,5400,-175,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.442371307,5300,65,5300,-194,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4472085139,5200,65,5200,-213,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4521778606,5100,65,5100,-230,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4573022549,5000,65,5000,-244,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.4621914238,4900,65,4900,-260,0.0698570460081,0.932607710361,0.0108950538561,0,-0.0655913800001
14.6291436481,4700,0,4700,-270,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6612192332,4600,65,4600,-263,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6660229163,4500,65,4500,-253,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6710447836,4400,65,4400,-241,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6757132541,4300,65,4300,-227,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6807597055,4200,65,4200,-211,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6851929505,4100,65,4100,-194,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6890702589,4000,65,4000,-175,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6934574087,3900,65,3900,-155,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.6982398601,3800,65,3800,-137,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.7030667305,3700,65,3700,-121,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.7083866804,3600,65,3600,-108,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.7130037477,3500,65,3500,-95,0.0331193581223,1.32435274124,0.0527261830866,0,-0.0650761201978
14.8905715671,3300,0,3300,-77,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0216804091,3200,65,3200,-73,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0263608922,3100,65,3100,-70,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0312738071,3000,65,3000,-68,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0361928681,2900,65,2900,-67,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0411789767,2800,65,2800,-69,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0461650852,2700,65,2700,-72,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0556590293,2600,65,2600,-74,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0607443125,2500,65,2500,-78,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0654454686,2400,65,2400,-83,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0702935708,2300,65,2300,-89,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0753017492,2200,65,2200,-94,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.0804834134,2100,65,2100,-100,0.00291332486086,1.27990806103,-0.00787863135338,0,-0.0422363877296
15.2448255295,1900,0,1900,-111,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2490106983,1800,65,1800,-115,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2538434354,1700,65,1700,-120,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2588971503,1600,65,1600,-125,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2835005566,1500,65,1500,-128,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2880949953,1400,65,1400,-128,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2932375483,1300,65,1300,-128,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.2978906537,1200,65,1200,-128,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.30274574,1100,65,1100,-127,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.3075678613,1000,65,1000,-125,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.312722427,900,65,900,-122,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
